activity,alley_condition,bbl_hotel,bbl_multifamily_rental,bbl_restaurant,bbl_single_family_rental,bbl_storage,bbl_two_family_rental,communitygarden_area,communitygarden_id,dcrapermit_addition,dcrapermit_demolition,dcrapermit_excavation,dcrapermit_new_building,dcrapermit_raze,impervious_area,month,num_mixed_use,num_non_residential,num_residential,park,pct_mixed_use,pct_non_residential,pct_residential,pop_density,sidewalk_grates,ssl_cndtn_Average_comm,ssl_cndtn_Average_res,ssl_cndtn_Excellent_comm,ssl_cndtn_Excellent_res,ssl_cndtn_Fair_comm,ssl_cndtn_Fair_res,ssl_cndtn_Good_comm,ssl_cndtn_Good_res,ssl_cndtn_Poor_comm,ssl_cndtn_Poor_res,ssl_cndtn_VeryGood_comm,ssl_cndtn_VeryGood_res,tot_pop,well_activity,WARD
0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18606.1694988,1,0.0,3.0,31.0,0.0,0.0,0.0882352941176,0.911764705882,18977.3492104,0.0,1.0,0.862068965517,0.0,0.0,0.0,0.0,0.0,0.137931034483,0.0,0.0,0.0,0.0,172,0.0,4
0.0,9.0,0.0,3.0,1.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20999.7284803,1,1.0,6.0,58.0,0.0,0.0153846153846,0.09230769230769999,0.892307692308,40987.339532599995,0.0,0.33333333333299997,0.45454545454499995,0.06666666666669999,0.0,0.0,0.030303030303,0.4,0.424242424242,0.06666666666669999,0.0,0.133333333333,0.0909090909091,391,0.0,1
0.0,12.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15150.2762571,1,0.0,5.0,21.0,0.0,0.0,0.192307692308,0.807692307692,60581.507389499995,1.0,0.33333333333299997,0.0,0.0,0.0,0.0,0.166666666667,0.33333333333299997,0.33333333333299997,0.0,0.0,0.33333333333299997,0.5,317,0.0,2
1.0,12.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9873.27670082,1,0.0,0.0,51.0,0.0,0.0,0.0,1.0,27231.097620099998,3.0,1.0,0.34693877550999996,0.0,0.0,0.0,0.0408163265306,0.0,0.5714285714289999,0.0,0.0204081632653,0.0,0.0204081632653,87,0.0,1
1.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11027.324691700001,1,0.0,0.0,59.0,0.0,0.0,0.0,1.0,27380.334007200003,0.0,0.0,0.51724137931,0.0,0.0,0.0,0.0,0.0,0.48275862069,0.0,0.0,0.0,0.0,114,0.0,1
1.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,17603.465842200003,1,2.0,21.0,28.0,0.0,0.0392156862745,0.41176470588200004,0.549019607843,8574.12442172,3.0,0.111111111111,0.583333333333,0.0,0.0,0.0,0.08333333333330001,0.888888888889,0.25,0.0,0.0416666666667,0.0,0.0416666666667,53,6.0,2
1.0,20.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20088.8486004,1,1.0,4.0,61.0,0.0,0.0151515151515,0.0606060606061,0.924242424242,89537.2263563,0.0,0.909090909091,0.689655172414,0.0,0.0,0.0,0.0,0.0909090909091,0.310344827586,0.0,0.0,0.0,0.0,748,1.0,1
0.0,9.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23340.6598115,1,0.0,1.0,25.0,0.0,0.0,0.0384615384615,0.9615384615379999,113318.962616,9.0,0.5,0.636363636364,0.0,0.0,0.0,0.0,0.5,0.363636363636,0.0,0.0,0.0,0.0,772,0.0,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7689.39527825,1,0.0,0.0,17.0,0.0,0.0,0.0,1.0,22301.719542400002,0.0,0.0,0.588235294118,0.0,0.0,0.0,0.0,0.0,0.35294117647100004,0.0,0.0,0.0,0.0588235294118,57,0.0,4
1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11356.6028308,1,0.0,0.0,58.0,0.0,0.0,0.0,1.0,30542.746341799997,0.0,0.0,0.611111111111,0.0,0.0,0.0,0.0,0.0,0.35185185185199996,0.0,0.0,0.0,0.037037037037,180,1.0,4
1.0,7.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18395.1639355,1,0.0,1.0,56.0,1.0,0.0,0.017543859649099998,0.9824561403509999,40906.1987992,3.0,0.666666666667,0.745098039216,0.0,0.0,0.0,0.0,0.33333333333299997,0.254901960784,0.0,0.0,0.0,0.0,373,0.0,1
1.0,10.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10891.7800911,1,0.0,1.0,19.0,0.0,0.0,0.05,0.95,31839.429974699997,2.0,0.4,0.785714285714,0.0,0.0,0.2,0.0,0.2,0.214285714286,0.0,0.0,0.2,0.0,134,2.0,1
1.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17254.8451153,1,0.0,1.0,63.0,0.0,0.0,0.015625,0.984375,24402.605773,1.0,1.0,0.8095238095239999,0.0,0.0,0.0,0.0,0.0,0.17460317460299998,0.0,0.0,0.0,0.015873015873,174,0.0,1
1.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10236.061775799999,1,0.0,0.0,45.0,0.0,0.0,0.0,1.0,35779.222838300004,0.0,0.0,0.886363636364,0.0,0.0,0.0,0.0,0.0,0.113636363636,0.0,0.0,0.0,0.0,149,0.0,5
1.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12351.2729659,1,0.0,1.0,57.0,0.0,0.0,0.0172413793103,0.9827586206899999,25611.2054252,0.0,0.0,0.482142857143,0.0,0.0,0.0,0.017857142857099998,0.0,0.428571428571,0.0,0.0,0.0,0.07142857142860001,147,2.0,5
1.0,14.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12008.1346218,1,0.0,0.0,44.0,0.0,0.0,0.0,1.0,39613.5424917,0.0,0.666666666667,0.7105263157889999,0.0,0.0,0.0,0.0,0.33333333333299997,0.289473684211,0.0,0.0,0.0,0.0,192,0.0,1
1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32441.933376599998,1,1.0,4.0,16.0,0.0,0.047619047619,0.190476190476,0.761904761905,3502.52969293,4.0,1.0,0.625,0.0,0.0625,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.125,45,3.0,1
